989	131	152
989	914	884
989	112	105
815	500	671
815	718	936
815	817	430
899	911	207
899	925	243
899	692	435
957	731	95
957	234	553
957	438	815
880	769	514
880	186	45
880	807	980
965	259	765
965	60	775
965	330	286
844	144	15
844	966	800
844	465	962
888	602	68
888	596	229
888	602	3
821	542	28
821	171	468
821	869	105
825	384	853
825	445	802
825	491	191
804	115	549
804	166	159
804	159	120
988	550	732
988	191	377
988	816	469
931	820	997
931	950	820
931	431	950
819	174	571
819	14	64
819	858	154
980	450	595
980	362	655
980	736	255
852	392	831
852	404	104
852	380	562
827	144	241
827	296	93
827	6	944
818	102	99
818	96	265
818	256	2
876	534	61
876	534	979
876	643	61
991	206	596
991	920	308
991	162	893
992	569	111
992	891	891
992	254	111
947	27	21
947	517	496
947	558	869
885	941	37
885	312	968
885	798	261
913	122	606
913	83	563
913	991	600
830	193	717
830	840	184
830	659	748
9	776	785
9	116	68
9	986	785
823	292	383
823	810	15
823	606	1000
952	501	821
952	644	504
952	176	830
982	457	543
982	548	501
982	999	429
878	688	688
878	688	688
878	688	688
916	466	472
916	873	342
916	52	466
882	300	846
882	300	981
882	166	397
98	332	143
98	762	503
98	152	556
894	990	693
894	36	814
894	36	22
973	168	741
973	478	520
973	520	429
839	570	48
839	469	188
839	89	463
940	471	796
940	374	121
940	711	526
920	520	629
920	729	596
920	520	629
800	720	164
800	464	991
800	675	125
826	234	288
826	631	746
826	158	132
859	713	381
859	277	806
859	85	547
877	186	971
877	186	186
877	971	535
951	210	330
951	901	112
951	876	717
954	743	331
954	711	948
954	669	56
941	890	321
941	37	413
941	895	951
870	159	448
870	391	4
870	765	830
94	534	690
94	785	697
94	637	835
871	651	952
871	305	290
871	542	821
813	172	441
813	144	345
813	696	324
829	300	817
829	355	772
829	772	696
925	179	101
925	999	463
925	277	798
833	940	261
833	537	278
833	303	896
92	828	520
92	877	45
92	233	319
872	846	970
872	119	398
872	41	423
854	773	292
854	306	744
854	953	242
850	456	20
850	456	97
850	727	727
889	475	772
889	231	973
889	771	756
90	309	155
90	966	567
90	123	539
873	177	400
873	699	400
873	497	335
835	518	540
835	53	424
835	627	324
929	482	872
929	514	872
929	301	407
984	940	683
984	440	217
984	682	658
832	106	149
832	571	571
832	1000	775
960	443	970
960	891	589
960	378	815
956	479	763
956	600	821
956	276	103
981	190	793
981	722	338
981	695	932
8	154	793
8	697	1
8	866	1
868	987	670
868	987	376
868	955	670
974	881	881
974	881	881
974	881	881
958	271	904
958	428	833
958	896	615
983	847	619
983	97	521
983	54	521
886	276	505
886	276	310
886	310	276
831	665	273
831	363	27
831	346	269
944	371	471
944	858	581
944	179	471
928	877	895
928	956	669
928	196	669
900	908	908
900	908	908
900	908	192
994	464	388
994	960	464
994	255	152
897	388	660
897	550	60
897	980	225
904	499	86
904	499	86
904	86	499
88	199	978
88	837	701
88	978	988
824	394	262
824	311	680
824	513	199
950	472	396
950	364	87
950	305	990
85	961	961
85	915	232
85	814	69
933	525	824
933	629	882
933	937	321
986	859	636
986	623	772
986	993	955
845	399	842
845	392	91
845	600	68
985	489	673
985	673	220
985	869	607
99	889	52
99	96	315
99	485	540
883	114	244
883	49	220
883	244	177
89	209	975
89	127	502
89	209	163
97	233	357
97	842	920
97	51	215
910	616	83
910	104	314
910	422	452
863	669	728
863	746	406
863	208	62
911	1	267
911	1000	267
911	522	551
828	212	683
828	445	445
828	717	296
853	693	831
853	896	695
853	729	861
915	491	842
915	249	604
915	891	842
932	191	281
932	605	932
932	124	145
817	879	225
817	642	642
817	269	642
917	601	154
917	374	862
917	601	860
96	133	231
96	696	537
96	676	525
898	540	214
898	214	480
898	480	480
999	381	68
999	872	284
999	322	505
822	210	470
822	58	416
822	963	975
856	46	54
856	397	260
856	896	489
86	264	851
86	117	264
86	113	255
881	663	437
881	455	203
881	332	690
875	886	886
875	886	886
875	886	886
997	584	748
997	167	246
997	501	673
80	604	518
80	144	423
80	228	228
976	906	782
976	296	281
976	47	423
843	376	609
843	636	315
843	919	108
91	104	274
91	233	837
91	960	139
896	10	826
896	493	728
896	703	475
805	316	381
805	381	4
805	543	233
887	1000	428
887	354	203
887	434	297
946	214	613
946	427	661
946	427	978
975	707	360
975	449	152
975	242	719
862	444	287
862	958	478
862	720	186
807	531	417
807	58	83
807	274	238
895	242	415
895	939	344
895	827	200
95	160	666
95	713	690
95	889	830
977	959	492
977	489	387
977	721	161
837	31	236
837	721	236
837	449	546
866	364	265
866	299	184
866	150	859
820	252	879
820	252	403
820	339	541
834	49	105
834	340	348
834	424	357
806	404	399
806	694	975
806	401	619
83	927	352
83	386	610
83	386	264
945	124	306
945	798	891
945	390	891
953	848	351
953	279	279
953	920	683
848	886	725
848	267	496
848	378	798
93	7	493
93	271	271
93	78	447
918	464	809
918	214	485
918	846	902
979	428	977
979	232	63
979	303	216
87	934	591
87	146	300
87	669	877
966	310	226
966	572	401
966	565	962
993	514	373
993	236	514
993	811	288
869	830	159
869	407	407
869	407	159
811	846	846
811	414	352
811	888	206
802	341	640
802	640	251
802	905	888
816	486	604
816	975	642
816	486	577
865	234	248
865	134	159
865	130	130
942	114	649
942	211	873
942	693	842
867	535	280
867	479	479
867	547	280
860	907	455
860	937	103
860	405	305
81	651	665
81	277	25
81	896	665
905	869	129
905	22	95
905	721	928
838	796	974
838	395	395
838	271	488
855	692	922
855	688	449
855	157	75
971	640	10
971	138	336
971	578	578
82	951	499
82	156	81
82	72	39
919	220	931
919	865	92
919	943	987
864	591	729
864	451	501
864	128	714
884	543	193
884	222	193
884	992	992
842	744	222
842	20	991
842	770	157
857	855	225
857	228	296
857	449	296
879	794	579
879	697	941
879	631	391
810	674	430
810	902	566
810	774	732
849	526	315
849	180	301
849	810	155
890	845	252
890	204	204
890	204	204
909	248	403
909	841	1
909	1000	460
912	785	421
912	313	151
912	51	785
840	156	709
840	873	85
840	451	237
996	976	671
996	71	634
996	670	505
836	663	638
836	500	609
836	420	207
914	897	998
914	370	532
914	138	154
948	281	513
948	934	366
948	66	386
803	263	484
803	190	552
803	186	237
851	268	874
851	356	629
851	82	663
846	818	695
846	538	435
846	476	812
955	991	154
955	164	858
955	121	967
893	405	405
893	267	583
893	347	405
809	124	397
809	302	541
809	430	853
841	971	532
841	971	66
841	821	979
989	75	993	768
989	409	993	768
989	409	993	90
815	805	811	306
815	739	811	49
815	413	811	352
899	404	887	699
899	221	887	891
899	34	887	960
957	841	805	883
957	928	805	707
957	401	805	233
